Month,Vietnam Exporting Volume (Tons),Vietnam Rice export Value (Mill. USD),Exchange Rate (thousand VND/Dollar),Hour of Sunlight (Hour),Average Temperature (Celcius),Average Moisture ( ),Average Rainfall (mm),Thailand (Value),Thailand (Volume)
Aug-08,450,392,15970,171.2,27.08,83.06666667,247,594101,384
Sep-08,400,232,15930.5,144.87,26.51333333,84.13333333,302.6,550581,334
Oct-08,350,230,16110,131.8,25.42666667,85.53333333,426.9333333,403337,234
Nov-08,250,119,16122,122.2,22.36666667,82.93333333,284.9333333,287261,147
Dec-08,350,147,16246,116.67,20.05333333,81.66666667,114.8666667,365450,180
Jan-09,300,130,16842,145.61,18.47333333,78.33333333,40.60666667,427768,200
Feb-09,750,350,16765,160.05,22.84,81.53333333,23.88666667,452181,218
Mar-09,560,257,16525,164.03,23.48666667,80.33333333,50.56,403198,201
Apr-09,750,350,16600,156.75,25.28,82.26666667,157.84,465314,226
May-09,710,350,16900,179.87,26.26666667,83.4,236.8133333,616855,306
Jun-09,680,333,16972,195.49,28.18666667,78.6,136.26,610032,305
Jul-09,640,260,17483,170.61,27.54,81.46666667,277.9466667,474525,246
Aug-09,500,205,17484.5,203.81,27.65333333,81.73333333,195.24,531335,272
Sep-09,430,174,17480.5,144.54,26.67333333,83.86666667,424.54,530427,274
Oct-09,400,150,17786,156.59,25.44666667,83.06666667,229.3933333,515755,264
Nov-09,350,139,17783,148.13,22.52666667,78.66666667,111.5333333,405013,193
Dec-09,220,101,17775,145.88,21.1,80.46666667,46.67333333,463391,230
Jan-10,340,161,17773,128.5,20.02666667,81.46666667,61.70266667,525904,273
Feb-10,383,206,17813.5,157.62,22.29333333,80.2,20.17333333,517165,265
Mar-10,450,240,17819,161.2,23.41333333,78,27.36666667,505737,253
Apr-10,700,385,17840.5,154.09,25.23333333,82.53333333,101.9,421037,203
May-10,730,390,17940,196.19,27.50666667,81.33333333,176.08,523111,232
Jun-10,720,370,18385,195.84,28.3,80.4,144.3133333,407537,181
Jul-10,550,240,18474,188.99,27.76666667,82.2,238.6733333,515140,217
Aug-10,700,295,18474,169.55,27.05333333,85,315.2933333,425562,184
Sep-10,600,230,19050,154.51,26.72666667,85.13333333,231.3933333,634395,271
Oct-10,350,150,19090,131.24,24.78,82.6,375.76,682290,298
Nov-10,500,235,18975,115.2,22.51333333,80.73333333,272.7266667,698290,303
Dec-10,500,245,18875,133.22,21.12,81.13333333,37.08666667,792297,362
Jan-11,380,200,19080,65.81,17.51333333,80.06666667,46.71333333,770602,355
Feb-11,600,310,19050,141.51,20.11428571,82.46666667,15.72066667,780026,340
Mar-11,600,300,19490,95.53,20.18666667,80.93333333,77.06,926652,418
Apr-11,890,445,19450,162.33,24.11333333,80.46666667,57.86666667,814718,361
May-11,750,360,19480,200.21,26.52,80,194.1266667,927052,406
Jun-11,610,300,19498,173.17,27.70666667,80.33333333,216.42,956938,418
